,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
f_rotated___60,-0.012911977442458736,0.9871807375730256,0.05256953191127319,-1.7921632707256363,1.8731227639540367,45.99199196304601,1.031260416996451
f_rotated___61,-0.1115735683806834,1.011839595698978,0.04500015433284084,-2.1291296070200407,1.8499890001407915,256.9882249883803,1.022478157961474
f_rotated___62,-0.0799092622663508,0.9365530229178582,0.038731308148717836,-1.9876592717734536,1.7123187794789858,331.662589717161,1.0057146898264342
f_rotated___63,-0.1040583950086323,1.08922280993834,0.07142837177285521,-2.3564588768867702,1.7966565023266514,47.56399488640448,0.9996238834675317
f_rotated___64,-0.09554435703752044,0.9031109920919916,0.038008477202536604,-1.9532454927415448,1.5479819135024866,409.8925438090752,1.000293211720094
f_rotated___65,-0.11579514741959546,0.9804937860257916,0.045718338637472364,-1.9433118904277331,1.7598944149085987,140.2994893992625,0.9995569999342309
f_rotated___66,-0.023911291123822835,0.8657960917617895,0.03373104594708596,-1.9562353810227384,1.596055837673317,590.7909202332066,0.9996160754165491
f_rotated___67,0.2861847250621505,1.0678324904529688,0.06334190501527823,-1.8497355571172072,2.197888959130491,51.18405041945877,1.0182069732356378
f_rotated___68,0.02785168160799975,1.024451557033079,0.05464826201065296,-1.7386033849396394,2.298417539036392,103.08118032551126,1.0028854115311143
f_rotated___69,0.2737070536466341,1.0164797511173422,0.05785872010271931,-1.6662627777963435,2.160939680831812,45.353873726728935,1.004467055920897
f_rotated___70,0.03522482154093785,0.9011439683221797,0.032257631309483926,-1.7272233699252184,1.8539675187249605,633.0424648237444,1.0057334967900398
f_rotated___71,-0.15585806157096382,0.9608091179228229,0.04338372043282555,-1.9840219599702786,1.589631705738428,168.44513470344722,1.005158243196523
f_rotated___72,0.06980647799978522,0.960102462697683,0.044755828132723406,-1.6917454571127193,1.9154239262662822,119.81824451480551,1.0003035906489475
f_rotated___73,-0.07975315372018486,0.9315352094981955,0.03634847733169631,-2.045772921279125,1.7039015677889153,482.2639589655413,1.008409121319399
f_rotated___74,0.1324358216348976,0.9071694325694308,0.03758344705409238,-1.6702764150988687,1.887214874607876,297.20813647637937,1.0060958549508976
f_rotated___75,0.02484172815925189,1.1128744541292874,0.0659068526185487,-1.864191727755303,2.5952796777863165,64.25399520793323,1.0173265086227623
f_rotated___76,0.13088776991027615,0.9387300113462999,0.0451739270687937,-1.70935613145642,1.884278363484978,160.5695551295872,1.004845179161059
f_rotated___77,-0.04871983761242817,0.9422954206153732,0.036811103607633115,-1.8735052683953168,1.8044387027126296,400.74205739872485,0.9996341733195573
f_rotated___78,0.14726174045518584,1.0392274469438363,0.0613807269609611,-1.6543621072654278,2.3066896156320715,47.60252831620544,1.0423215933353467
f_rotated___79,0.06836149067967398,0.9577834747217678,0.040492852447217856,-1.7899913296801395,1.868078710220236,200.15556069414788,1.0130902869223966
f_rotated___80,0.19027779887651358,1.0103112939265326,0.05602671119156866,-1.6718271743443407,2.194525932029846,69.55361612900407,1.0113215867433614
f_rotated___81,0.2786856692473405,1.1736784111137795,0.07614327509970889,-1.686627399256945,2.7593246266261775,19.11684388824636,1.0716708167915652
f_rotated___82,-0.07154094039963589,0.9123961300469459,0.030015061840163743,-1.7804042748611897,1.8155154529867468,745.1889471476285,0.9996894956943511
f_rotated___83,0.103437821136153,0.9367042167470774,0.043236330144041143,-1.916661666734723,1.8506970006716548,394.1089587042799,1.01809021434567
f_rotated___84,0.0016674552187447515,0.9443537347968693,0.04218031809028443,-1.829102127896416,1.7955011293974912,168.6151201312061,1.0046397790601425
f_rotated___85,0.06687925360469497,0.9830751922631386,0.04282093077027574,-1.8321831436765432,1.9589484445032717,90.46780364546699,1.033174441115652
f_rotated___86,-0.11608879788440196,1.015079235047602,0.05063524807737878,-1.887545214001952,2.114107428156223,183.61888404750047,0.9995106253703947
f_rotated___87,0.1435084831718512,0.9865559314849262,0.05527786175597974,-1.6723090129746074,1.8570034321428608,51.9342078371546,1.0324892910882588
f_rotated___88,0.06314351549909317,0.952201217673389,0.03930643493924854,-1.8262180144926592,1.9546663460386824,357.19517987811287,1.0088903100105235
f_rotated___89,-0.08078571247545248,1.053333409597212,0.047199971696146585,-2.1090860092196104,1.9853643029881707,408.6005571886921,1.001479418157138
f_rotated___90,-0.02028184398042022,1.1063988762752008,0.06674382862538619,-2.2839390627566822,2.1505336145563505,47.55967538766518,1.0260545114479909
f_rotated___91,0.10358515587703049,1.0307207886567769,0.04413511022211007,-1.9360723337780843,2.0559283944697673,385.55066355417523,0.9995130220981903
f_rotated___92,0.2061293983377014,1.0298686437578888,0.06082407984969507,-1.6987226052374962,2.0609831091290496,51.80186147099146,1.0169873082606942
